customer_id,customer_segment,city,created_at
CUST00001,NEW,Ha Noi,2025-10-27T03:28:57+00:00
CUST00002,REGULAR,Hue,2026-07-09T07:00:39+00:00
CUST00003,NEW,Can Tho,2026-03-04T04:51:54+00:00
CUST00004,REGULAR,Ho Chi Minh,2026-01-29T19:58:44+00:00
CUST00005,REGULAR,Hue,2025-12-02T12:34:32+00:00
CUST00006,REGULAR,Hai Phong,2025-12-26T12:25:57+00:00
CUST00007,NEW,Ho Chi Minh,2025-11-13T10:02:09+00:00
CUST00008,REGULAR,Ho Chi Minh,2025-08-01T19:00:46+00:00
CUST00009,NEW,Hai Phong,2026-07-11T12:01:49+00:00
CUST00010,VIP,Ha Noi,2025-10-31T14:14:29+00:00
CUST00011,CHURN_RISK,Ha Noi,2026-01-10T09:20:01+00:00
CUST00012,VIP,Can Tho,2026-06-04T00:25:47+00:00
CUST00013,REGULAR,Da Nang,2025-07-21T02:12:03+00:00
CUST00014,NEW,Hai Phong,2026-04-30T04:49:57+00:00
CUST00015,VIP,Ho Chi Minh,2026-03-24T17:26:38+00:00
CUST00016,VIP,Hue,2025-08-09T17:12:40+00:00
CUST00017,REGULAR,Can Tho,2025-11-01T04:37:28+00:00
CUST00018,CHURN_RISK,Da Nang,2025-07-19T13:51:21+00:00
CUST00019,REGULAR,Hue,2026-04-11T13:12:52+00:00
CUST00020,NEW,Ho Chi Minh,2025-09-24T12:10:44+00:00
CUST00021,CHURN_RISK,Da Nang,2026-07-23T15:35:14+00:00
CUST00022,VIP,Ho Chi Minh,2025-11-30T10:41:21+00:00
CUST00023,CHURN_RISK,Ho Chi Minh,2026-05-05T19:28:40+00:00
CUST00024,VIP,Hue,2025-12-28T07:19:28+00:00
CUST00025,CHURN_RISK,Da Nang,2026-05-23T07:34:38+00:00
CUST00026,CHURN_RISK,Ha Noi,2025-10-20T20:41:09+00:00
CUST00027,REGULAR,Hue,2026-06-16T08:31:18+00:00
CUST00028,NEW,Hai Phong,2026-03-19T09:32:38+00:00
CUST00029,VIP,Can Tho,2025-09-09T16:15:02+00:00
CUST00030,NEW,Hue,2025-08-30T08:45:38+00:00
CUST00031,VIP,Ha Noi,2026-04-24T10:45:40+00:00
CUST00032,NEW,Hue,2025-09-03T09:45:13+00:00
CUST00033,REGULAR,Can Tho,2025-08-19T02:45:02+00:00
CUST00034,VIP,Hue,2026-01-28T17:51:40+00:00
CUST00035,VIP,Ho Chi Minh,2026-01-15T12:03:10+00:00
CUST00036,NEW,Can Tho,2026-04-12T07:39:13+00:00
CUST00037,VIP,Da Nang,2026-05-15T23:43:03+00:00
CUST00038,NEW,Ha Noi,2025-10-30T10:55:06+00:00
CUST00039,REGULAR,Ho Chi Minh,2025-11-28T04:36:52+00:00
CUST00040,REGULAR,Da Nang,2026-01-20T08:22:47+00:00
CUST00041,REGULAR,Can Tho,2025-10-21T05:35:13+00:00
CUST00042,VIP,Hai Phong,2025-07-17T07:37:08+00:00
CUST00043,CHURN_RISK,Can Tho,2026-02-20T04:01:52+00:00
CUST00044,NEW,Da Nang,2026-08-11T01:19:51+00:00
CUST00045,REGULAR,Ha Noi,2026-07-21T23:57:03+00:00
CUST00046,REGULAR,Ha Noi,2025-08-22T00:11:46+00:00
CUST00047,NEW,Can Tho,2026-05-16T03:46:08+00:00
CUST00048,REGULAR,Can Tho,2026-06-27T04:17:21+00:00
CUST00049,CHURN_RISK,Ho Chi Minh,2025-10-09T09:04:51+00:00
