order_id,customer_id,order_time,status,payment_method,total_amount
ORD000001,CUST06492,2026-03-20T08:24:39+00:00,CREATED,BANK_TRANSFER,84362000.0
ORD000002,CUST14898,2026-07-21T00:41:53+00:00,SHIPPED,COD,19711000.0
ORD000003,CUST02230,2026-03-07T17:21:06+00:00,SHIPPED,BANK_TRANSFER,68796000.0
ORD000004,CUST07562,2026-06-20T17:03:43+00:00,SHIPPED,E_WALLET,57348000.0
ORD000005,CUST07552,2026-07-05T00:22:37+00:00,PAID,BANK_TRANSFER,72929000.0
ORD000006,CUST11703,2026-05-27T08:39:26+00:00,CANCELLED,BANK_TRANSFER,70092000.0
ORD000007,CUST06668,2026-07-04T14:58:14+00:00,CREATED,E_WALLET,65979000.0
ORD000008,CUST19491,2026-07-20T00:43:38+00:00,CREATED,E_WALLET,19515000.0
ORD000009,CUST10286,2026-02-25T09:36:32+00:00,PAID,E_WALLET,36672000.0
ORD000010,CUST04114,2026-05-10T21:05:20+00:00,SHIPPED,E_WALLET,2319000.0
ORD000011,CUST07497,2026-06-18T10:21:18+00:00,SHIPPED,COD,19191000.0
ORD000012,CUST04742,2026-05-24T06:27:22+00:00,SHIPPED,COD,42363000.0
ORD000013,CUST02154,2026-03-17T07:02:07+00:00,SHIPPED,BANK_TRANSFER,37080000.0
ORD000014,CUST06278,2026-07-15T18:09:58+00:00,SHIPPED,CREDIT_CARD,65985000.0
ORD000015,CUST16619,2026-04-02T09:30:55+00:00,CREATED,E_WALLET,26817000.0
ORD000016,CUST06695,2026-05-01T20:14:15+00:00,PAID,BANK_TRANSFER,84208000.0
ORD000017,CUST08336,2026-03-08T23:56:47+00:00,CANCELLED,E_WALLET,18832000.0
ORD000018,CUST12715,2026-05-31T07:21:10+00:00,SHIPPED,COD,15285000.0
ORD000019,CUST19311,2026-08-08T14:55:45+00:00,CANCELLED,E_WALLET,97135000.0
ORD000020,CUST14321,2026-03-15T12:08:27+00:00,PAID,COD,50843000.0
ORD000021,CUST03163,2026-05-05T23:53:47+00:00,PAID,CREDIT_CARD,46460000.0
ORD000022,CUST12185,2026-06-10T02:15:00+00:00,PAID,E_WALLET,79899000.0
ORD000023,CUST00256,2026-06-27T04:02:23+00:00,PAID,CREDIT_CARD,69197000.0
ORD000024,CUST07982,2026-05-19T17:09:00+00:00,CREATED,COD,16545000.0
ORD000025,CUST11114,2026-05-18T00:48:06+00:00,PAID,COD,33506000.0
ORD000026,CUST02606,2026-03-13T00:01:41+00:00,SHIPPED,E_WALLET,91143000.0
ORD000027,CUST15730,2026-04-29T02:57:03+00:00,SHIPPED,COD,95197000.0
ORD000028,CUST09239,2026-04-23T05:33:47+00:00,SHIPPED,E_WALLET,39384000.0
ORD000029,CUST18362,2026-05-02T16:40:22+00:00,SHIPPED,CREDIT_CARD,35552000.0
ORD000030,CUST00789,2026-03-17T21:02:48+00:00,CREATED,CREDIT_CARD,39170000.0
ORD000031,CUST11495,2026-06-28T21:05:05+00:00,CREATED,E_WALLET,81112000.0
ORD000032,CUST09843,2026-07-24T10:23:15+00:00,PAID,E_WALLET,51928000.0
ORD000033,CUST00030,2026-07-10T21:47:09+00:00,CREATED,COD,170812000.0
ORD000034,CUST16075,2026-04-17T22:34:42+00:00,SHIPPED,COD,934000.0
ORD000035,CUST16423,2026-05-06T07:20:27+00:00,SHIPPED,E_WALLET,60276000.0
ORD000036,CUST17213,2026-03-25T17:56:47+00:00,SHIPPED,BANK_TRANSFER,51215000.0
ORD000037,CUST14852,2026-05-23T09:46:20+00:00,SHIPPED,BANK_TRANSFER,17685000.0
ORD000038,CUST03192,2026-07-29T19:01:13+00:00,SHIPPED,COD,130322000.0
ORD000039,CUST00316,2026-08-16T18:26:40+00:00,CREATED,COD,151684000.0
ORD000040,CUST16427,2026-06-29T21:41:47+00:00,CREATED,E_WALLET,147310000.0
ORD000041,CUST08542,2026-07-03T04:29:07+00:00,SHIPPED,BANK_TRANSFER,86254000.0
ORD000042,CUST17916,2026-05-03T12:56:21+00:00,CANCELLED,COD,37825000.0
ORD000043,CUST08436,2026-04-30T05:56:06+00:00,CANCELLED,COD,73882000.0
ORD000044,CUST15929,2026-05-22T16:23:20+00:00,CREATED,COD,60793000.0
ORD000045,CUST08740,2026-06-11T16:24:53+00:00,SHIPPED,E_WALLET,13082000.0
ORD000046,CUST17906,2026-05-05T10:53:10+00:00,CANCELLED,BANK_TRANSFER,127695000.0
ORD000047,CUST05018,2026-03-01T16:01:45+00:00,CREATED,CREDIT_CARD,18899000.0
ORD000048,CUST09168,2026-04-03T10:25:02+00:00,PAID,E_WALLET,59616000.0
ORD000049,CUST08580,2026-03-27T19:19:37+00:00,PAID,BANK_TRANSFER,71856000.0
ORD000050,CUST00486,2026-02-28T06:09:53+00:00,SHIPPED,COD,25485000.0
ORD000051,CUST06019,2026-08-09T00:54:32+00:00,PAID,COD,5884000.0
ORD000052,CUST14517,2026-04-12T15:19:27+00:00,PAID,E_WALLET,47344000.0
ORD000053,CUST11472,2026-07-28T08:37:21+00:00,SHIPPED,BANK_TRANSFER,37530000.0
ORD000054,CUST01928,2026-03-01T08:31:37+00:00,PAID,BANK_TRANSFER,4396000.0
ORD000055,CUST11888,2026-05-18T14:45:11+00:00,PAID,E_WALLET,130545000.0
ORD000056,CUST12348,2026-07-16T03:23:57+00:00,SHIPPED,BANK_TRANSFER,65286000.0
ORD000057,CUST07033,2026-06-25T18:20:04+00:00,PAID,COD,61085000.0
ORD000058,CUST16643,2026-07-12T02:21:28+00:00,CREATED,COD,102036000.0
ORD000059,CUST03055,2026-02-25T03:52:09+00:00,PAID,COD,26796000.0
ORD000060,CUST13372,2026-08-08T13:39:34+00:00,SHIPPED,BANK_TRANSFER,64320000.0
ORD000061,CUST15703,2026-03-24T05:07:06+00:00,SHIPPED,BANK_TRANSFER,61439000.0
ORD000062,CUST08902,2026-05-08T17:42:56+00:00,SHIPPED,CREDIT_CARD,57495000.0
ORD000063,CUST12055,2026-03-05T17:26:28+00:00,PAID,COD,24910000.0
ORD000064,CUST19687,2026-07-30T04:25:10+00:00,CREATED,CREDIT_CARD,14199000.0
ORD000065,CUST12795,2026-07-14T03:57:31+00:00,SHIPPED,BANK_TRANSFER,45864000.0
ORD000066,CUST14666,2026-07-12T14:03:04+00:00,CANCELLED,BANK_TRANSFER,48534000.0
ORD000067,CUST12399,2026-03-27T08:24:00+00:00,PAID,COD,46475000.0
ORD000068,CUST04256,2026-06-22T21:43:41+00:00,PAID,COD,152017000.0
ORD000069,CUST15816,2026-05-21T07:46:40+00:00,CREATED,COD,26812000.0
ORD000070,CUST01736,2026-04-03T06:47:21+00:00,SHIPPED,COD,77938000.0
ORD000071,CUST01822,2026-04-21T15:46:14+00:00,SHIPPED,E_WALLET,63177000.0
ORD000072,CUST01553,2026-03-09T05:03:03+00:00,PAID,CREDIT_CARD,70643000.0
ORD000073,CUST16214,2026-07-23T20:13:19+00:00,CANCELLED,BANK_TRANSFER,50734000.0
ORD000074,CUST01298,2026-08-07T14:18:22+00:00,SHIPPED,E_WALLET,13236000.0
ORD000075,CUST04419,2026-07-30T14:18:48+00:00,SHIPPED,CREDIT_CARD,34795000.0
ORD000076,CUST16647,2026-06-23T02:00:02+00:00,CANCELLED,E_WALLET,6581000.0
ORD000077,CUST15612,2026-08-01T13:15:45+00:00,PAID,BANK_TRANSFER,39152000.0
ORD000078,CUST07321,2026-03-21T05:08:42+00:00,CANCELLED,E_WALLET,145971000.0
ORD000079,CUST00377,2026-03-01T13:18:13+00:00,CANCELLED,BANK_TRANSFER,137836000.0
ORD000080,CUST12606,2026-08-11T19:11:09+00:00,SHIPPED,COD,10402000.0
ORD000081,CUST17798,2026-08-04T03:53:14+00:00,CREATED,E_WALLET,51948000.0
ORD000082,CUST01378,2026-07-01T11:05:41+00:00,PAID,CREDIT_CARD,15712000.0
ORD000083,CUST15068,2026-07-03T22:05:07+00:00,SHIPPED,CREDIT_CARD,111547000.0
ORD000084,CUST14591,2026-03-24T06:58:24+00:00,CREATED,CREDIT_CARD,62908000.0
ORD000085,CUST15943,2026-07-03T05:57:36+00:00,SHIPPED,BANK_TRANSFER,52896000.0
ORD000086,CUST17999,2026-06-01T00:07:58+00:00,SHIPPED,E_WALLET,6927000.0
ORD000087,CUST11610,2026-06-28T19:20:31+00:00,PAID,BANK_TRANSFER,76740000.0
ORD000088,CUST19556,2026-06-20T14:55:43+00:00,SHIPPED,BANK_TRANSFER,55566000.0
ORD000089,CUST19636,2026-03-30T00:53:27+00:00,CANCELLED,E_WALLET,33441000.0
ORD000090,CUST07769,2026-05-07T16:22:07+00:00,SHIPPED,COD,29556000.0
ORD000091,CUST18875,2026-05-23T18:46:37+00:00,CANCELLED,CREDIT_CARD,29736000.0
ORD000092,CUST19298,2026-07-21T17:40:00+00:00,PAID,CREDIT_CARD,42200000.0
ORD000093,CUST12567,2026-05-30T12:34:30+00:00,CANCELLED,COD,83438000.0
ORD000094,CUST09453,2026-07-14T22:40:53+00:00,PAID,E_WALLET,35022000.0
ORD000095,CUST05499,2026-06-17T05:32:26+00:00,CREATED,CREDIT_CARD,81970000.0
ORD000096,CUST14935,2026-05-21T18:24:40+00:00,SHIPPED,COD,88452000.0
ORD000097,CUST05317,2026-02-24T14:04:07+00:00,PAID,COD,55419000.0
ORD000098,CUST07929,2026-04-17T09:19:14+00:00,CANCELLED,COD,80636000.0
ORD000099,CUST18332,2026-08-02T10:34:49+00:00,SHIPPED,BANK_TRANSFER,24823000.0
ORD000100,CUST01494,2026-06-22T13:15:50+00:00,PAID,COD,15012000.0
ORD000101,CUST09031,2026-05-14T09:12:13+00:00,CREATED,CREDIT_CARD,55566000.0
ORD000102,CUST11563,2026-07-29T21:54:43+00:00,CANCELLED,E_WALLET,12294000.0
ORD000103,CUST15842,2026-03-17T11:05:41+00:00,SHIPPED,COD,11055000.0
ORD000104,CUST11374,2026-08-06T01:42:07+00:00,CANCELLED,BANK_TRANSFER,1486000.0
ORD000105,CUST12020,2026-08-02T15:29:52+00:00,PAID,E_WALLET,22383000.0
ORD000106,CUST18772,2026-04-14T11:28:50+00:00,CANCELLED,COD,9700000.0
ORD000107,CUST13515,2026-05-25T03:34:56+00:00,SHIPPED,E_WALLET,99452000.0
ORD000108,CUST00938,2026-03-24T23:08:24+00:00,PAID,COD,78621000.0
ORD000109,CUST11112,2026-08-09T22:14:23+00:00,SHIPPED,COD,9694000.0
ORD000110,CUST04451,2026-04-07T23:21:57+00:00,CREATED,BANK_TRANSFER,58084000.0
ORD000111,CUST06720,2026-05-30T22:30:14+00:00,SHIPPED,COD,6894000.0
ORD000112,CUST08522,2026-07-01T14:58:10+00:00,PAID,E_WALLET,67750000.0
ORD000113,CUST13242,2026-07-16T01:23:17+00:00,SHIPPED,CREDIT_CARD,128784000.0
ORD000114,CUST14027,2026-03-13T11:32:35+00:00,CANCELLED,CREDIT_CARD,84173000.0
ORD000115,CUST08936,2026-07-23T18:14:21+00:00,SHIPPED,COD,32628000.0
