order_id,customer_id,order_time,status,payment_method,total_amount
ORD000001,CUST00095,2026-07-05T20:18:36+00:00,PAID,E_WALLET,35934000.0
ORD000002,CUST00074,2026-04-05T10:05:49+00:00,CREATED,BANK_TRANSFER,123603000.0
ORD000003,CUST00045,2026-06-23T02:37:21+00:00,PAID,E_WALLET,114013000.0
ORD000004,CUST00085,2026-03-26T00:44:33+00:00,CANCELLED,BANK_TRANSFER,54492000.0
ORD000005,CUST00053,2026-05-18T02:01:16+00:00,CREATED,E_WALLET,96117000.0
ORD000006,CUST00057,2026-05-24T17:22:51+00:00,SHIPPED,COD,48264000.0
ORD000007,CUST00071,2026-07-09T17:56:26+00:00,PAID,CREDIT_CARD,24094000.0
ORD000008,CUST00064,2026-06-27T18:56:00+00:00,CANCELLED,CREDIT_CARD,135011000.0
ORD000009,CUST00009,2026-03-30T09:37:46+00:00,PAID,BANK_TRANSFER,102201000.0
ORD000010,CUST00020,2026-05-24T11:59:56+00:00,PAID,BANK_TRANSFER,83414000.0
ORD000011,CUST00030,2026-06-06T18:08:00+00:00,SHIPPED,BANK_TRANSFER,149007000.0
ORD000012,CUST00005,2026-02-26T22:02:11+00:00,CREATED,COD,14164000.0
ORD000013,CUST00068,2026-08-17T02:22:58+00:00,CANCELLED,BANK_TRANSFER,77620000.0
ORD000014,CUST00084,2026-06-21T05:05:11+00:00,CREATED,COD,117080000.0
ORD000015,CUST00031,2026-03-06T06:38:43+00:00,SHIPPED,COD,23741000.0
ORD000016,CUST00057,2026-06-27T01:38:26+00:00,PAID,CREDIT_CARD,41086000.0
ORD000017,CUST00032,2026-05-09T08:57:46+00:00,SHIPPED,CREDIT_CARD,34775000.0
ORD000018,CUST00064,2026-07-24T19:07:30+00:00,CANCELLED,CREDIT_CARD,73184000.0
ORD000019,CUST00010,2026-06-18T05:38:32+00:00,PAID,COD,68915000.0
ORD000020,CUST00031,2026-06-16T02:29:28+00:00,PAID,COD,46524000.0
ORD000021,CUST00078,2026-03-22T05:22:06+00:00,SHIPPED,CREDIT_CARD,39564000.0
ORD000022,CUST00080,2026-04-05T06:15:14+00:00,PAID,COD,107694000.0
